#  Detector,Energy,Pixel,Amplitude,Center,Width,Background,lowerBin,upperBin,A4Offset
9.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.460669036029999859e+02,3.500000000000000000e+00,2.489242842759884944e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-9.999999999999994671e+00
9.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.664961212480000086e+01,4.000000000000000000e+00,1.810213010572104597e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-9.999999999999994671e+00
9.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.354559669690000021e+02,4.500000000000000000e+00,1.651068220894442273e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-9.999999999999994671e+00
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.929068252390000282e+01,2.500000000000000000e+00,4.656179458323974174e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.249999999999999822e+01
1.010000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.784371767080000382e+01,3.000000000000000000e+00,3.675587670535112927e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.249999999999999822e+01
1.020000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.500000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.249999999999999822e+01
1.030000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.120197371590000301e+01,4.000000000000000000e+00,2.053850222597209285e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.249999999999999822e+01
1.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.090719239289999933e+02,4.500000000000000000e+00,1.473284276623746836e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.249999999999999822e+01
1.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.767984742180000524e+01,2.500000000000000000e+00,5.287411824229668156e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.499999999999999645e+01
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.163057720740000036e+02,3.000000000000000000e+00,3.731966121170609441e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.499999999999999645e+01
1.070000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.425143822569999941e+02,3.500000000000000000e+00,2.519381178762775786e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.499999999999999645e+01
1.080000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.094272217810000001e+02,4.000000000000000000e+00,1.945362382024455439e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.499999999999999645e+01
1.090000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.167311554669999936e+02,4.500000000000000000e+00,1.708124544359574948e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.499999999999999645e+01
1.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.522739123690000440e+01,2.500000000000000000e+00,5.088659395996515400e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.750000000000000000e+01
1.110000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.087157033029999980e+02,3.000000000000000000e+00,3.103251675788970765e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.750000000000000000e+01
1.120000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.331407609309999884e+02,3.500000000000000000e+00,2.602668501618889074e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.750000000000000000e+01
1.130000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.268057385489999973e+02,4.000000000000000000e+00,1.825990701954848916e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.750000000000000000e+01
